t,data
428,0.051696944
428.5,0.058444448
429,0.048659655
429.5,0.051229085
430,0.07537738
430.5,0.045615257
431,0.049793782
431.5,0.051658873
432,0.039292103
432.5,0.031664877
433,0.033699684
433.5,0.036184849
434,0.046554844
434.5,0.042517811
435,0.041402511
435.5,0.048905914
436,0.040288936
436.5,0.064962097
437,0.044725897
437.5,0.049555694
438,0.048661759
438.5,0.05931385
439,0.053446704
439.5,0.04155775
440,0.039464519
440.5,0.047314825
441,0.037070568
441.5,0.040126647
442,0.062325852
442.5,0.040408508
443,0.039226282
443.5,0.046503476
444,0.038356796
444.5,0.03930072
445,0.054361042
445.5,0.059831183
446,0.044054028
446.5,0.059592081
447,0.047151526
447.5,0.048720611
448,0.065576081
448.5,0.032785987
449,0.054031499
449.5,0.044694426
450,0.04845353
450.5,0.04171872
451,0.056391242
451.5,0.046442107
452,0.062610927
452.5,0.053030519
453,0.057958857
453.5,0.041647298
454,0.052372753
454.5,0.060058191
455,0.055944418
455.5,0.061250026
456,0.043678103
456.5,0.041722318
457,0.046216424
457.5,0.045786581
458,0.064771122
458.5,0.051387194
459,0.039135366
459.5,0.040599078
460,0.03944594
460.5,0.04199371
461,0.041393525
461.5,0.055997006
462,0.033361346
462.5,0.057017622
463,0.066518143
463.5,0.06593536
464,0.0599123
464.5,0.046974211
465,0.044362822
465.5,0.064231889
466,0.0548395
466.5,0.044726237
467,0.066270201
467.5,0.048081022
468,0.03757626
468.5,0.063573429
469,0.067557496
469.5,0.056074214
470,0.042739722
470.5,0.038130423
471,0.063876198
471.5,0.056941538
472,0.066372731
472.5,0.066807415
473,0.038168159
473.5,0.05675386
474,0.047649599
474.5,0.064075611
475,0.041218618
475.5,0.050288995
476,0.064621436
476.5,0.034115709
477,0.042832851
477.5,0.032580661
478,0.038903
478.5,0.039932994
479,0.051445557
479.5,0.039432308
480,0.052946794
480.5,0.055351206
481,0.048935728
481.5,0.056710503
482,0.047868045
482.5,0.063384753
483,0.044570563
483.5,0.053721988
484,0.055467199
484.5,0.047110645
485,0.059218515
485.5,0.05791563
486,0.051662979
486.5,0.077175691
487,0.046076144
487.5,0.041439899
488,0.053937933
488.5,0.041270298
489,0.060828711
489.5,0.052217745
490,0.041842853
490.5,0.054838193
491,0.038532965
491.5,0.065052643
492,0.054478423
492.5,0.057378111
493,0.045568018
493.5,0.048496726
494,0.052795996
494.5,0.03902087
495,0.059918607
495.5,0.041197325
496,0.057794623
496.5,0.046943023
497,0.047445801
497.5,0.05702235
498,0.03849258
498.5,0.072456951
499,0.07031304
499.5,0.042378438
